username,role,category1,category2
ximo_valencia,normalUser,Napoleonic:1051,Educational:1094
remylebeau33,normalUser,Book:1117,Children's Game:1041
kidstarkenny,normalUser,Fighting:1046,Racing:1031
derringdo09,normalUser,Fantasy:1010,Medieval:1035
cgrim,normalUser,Medical:2145,Medieval:1035
jyl22075,normalUser,Trains:1034,Children's Game:1041
tabletopnick,normalUser,Print & Play:1120,Napoleonic:1051
theopjulie,normalUser,Abstact Strategy:1009,Bluffing:1023
partypatch,normalUser,Deduction:1039,Fantasy:1010
shandower,normalUser,Racing:1031,Murder/Mystery:1040
sg3000,normalUser,Action/Dexterity:1032,Number:1098
blackswordsteve,normalUser,Racing:1031,Deduction:1039
epicboss99,normalUser,Miniatures:1047,Humor:1079
melikev,normalUser,Card Game:1002,Movies/TV/Radio Theme:1064
melosine,normalUser,Movies/TV/Radio Theme:1064,World War II: 1049
ir0nf0x,normalUser,Deduction:1039,Medieval:1035
jabba_samurai,normalUser,Word-game:1025,Modern Warfare:1069
ravenbet,normalUser,Memory:1045,Spies/Secret Agents:1081
petev182,normalUser,Napoleonic:1051,Bluffing:1023
adb95,normalUser,Collectible Components:1044,Racing:1031
adrikos70,normalUser,Card Game:1002,Territory Building:1086
jimmyc81,normalUser,Word-game:1025,Aviation/Flight:2650
stephank86,normalUser,Children's Game:1041,Card Game:1002
pressack,normalUser,Deduction:1039,Wargame:1019
sparkzx,normalUser,Print & Play:1120,World War II: 1049
cozzaraptor,normalUser,Zombies:2481,Medical:2145
pinstripe10,normalUser,Abstact Strategy:1009,Video Game Theme:1101
dossyvilja,normalUser,Spies/Secret Agents:1081,Racing:1031
rey138,normalUser,Number:1098,Action/Dexterity:1032
kain6891,normalUser,Science Fiction:1016,Zombies:2481
impastuscastor,normalUser,Spies/Secret Agents:1081,Murder/Mystery:1040
khowie92,normalUser,Science Fiction:1016,Puzzle:1028
bburns,normalUser,Travel:1097,Card Game:1002
ozkr_hyde,normalUser,Exploration:1020,Educational:1094
ralflix,normalUser,Book:1117,Aviation/Flight:2650
grumpy65,normalUser,Spies/Secret Agents:1081,Economic:1021
mandingas1,normalUser,Economic:1021,Bluffing:1023
sharkies2016,normalUser,Bluffing:1023,Deduction:1039
mrcuddles,normalUser,Negotiation:1026,Sports:1038
ara_8,normalUser,Collectible Components:1044,Zombies:2481
numanuma,normalUser,Medical:2145,Territory Building:1086
yoelvn,normalUser,Educational:1094,Fantasy:1010
notyoufuneral,normalUser,Action/Dexterity:1032,Fighting:1046
jonacc,normalUser,Dice:1017,Racing:1031
the cee,normalUser,Territory Building:1086,Deduction:1039
jjdynasty,normalUser,Abstact Strategy:1009,Animals:1089
exit 23 games,normalUser,Action/Dexterity:1032,Movies/TV/Radio Theme:1064
ouyonglin,normalUser,Zombies:2481,World War II: 1049
stopclop,normalUser,Exploration:1020,Adventure:1022
homeway,normalUser,Science Fiction:1016,Party Game:1030
mingzhi2000,normalUser,Action/Dexterity:1032,Medical:2145
peterchayward,normalUser,Puzzle:1028,Trains:1034
cocole_fdu,normalUser,Adventure:1022,Medical:2145
yqwzy666,normalUser,Humor:1079,Medical:2145
xpoko,normalUser,Fantasy:1010,Humor:1079
pyragor,normalUser,Movies/TV/Radio Theme:1064,Children's Game:1041
hunterdk,normalUser,Real-time:1037,Adventure:1022
alrecenk,normalUser,Exploration:1020,Card Game:1002
justinmdiaz,normalUser,Card Game:1002,Print & Play:1120
vryk0lakas,normalUser,Spies/Secret Agents:1081,Territory Building:1086
sixthfloor,normalUser,Negotiation:1026,Collectible Components:1044
bravelord,normalUser,Racing:1031,Fighting:1046
a6thefanzine,normalUser,Medical:2145,Abstact Strategy:1009
wetrock,normalUser,Animals:1089,Aviation/Flight:2650
primertt,normalUser,Puzzle:1028,Print & Play:1120
zoomoutmedia,normalUser,Aviation/Flight:2650,Humor:1079
rubia,normalUser,Number:1098,Exploration:1020
akoya007,normalUser,Adventure:1022,Novel-Based:1093
mariannabou,normalUser,Collectible Components:1044,Wargame:1019
thejoepilato,normalUser,Real-time:1037,Wargame:1019
kodaix7,normalUser,Video Game Theme:1101,Abstact Strategy:1009
aljamdc,normalUser,Fantasy:1010,Medieval:1035
barnziee,normalUser,Territory Building:1086,Educational:1094
miki_,normalUser,Wargame:1019,Territory Building:1086
hubert laurent,normalUser,Bluffing:1023,Word-game:1025
windwakler,normalUser,Negotiation:1026,Party Game:1030
gottagame9000,normalUser,Real-time:1037,Aviation/Flight:2650
hkplayersonboard,normalUser,Sports:1038,Travel:1097
urwathrtz,normalUser,Word-game:1025,Miniatures:1047
oldmanmike,normalUser,Humor:1079,Travel:1097
yoyo497,normalUser,Bluffing:1023,Puzzle:1028
gm_fritz,normalUser,Novel-Based:1093,Book:1117
phyreous,normalUser,Ancient:1050,Territory Building:1086
ambennett86,normalUser,Napoleonic:1051,Memory:1045
coltonreese,normalUser,Puzzle:1028,Zombies:2481
scrilla,normalUser,Miniatures:1047,Exploration:1020
daliman13,normalUser,Collectible Components:1044,Science Fiction:1016
vicenc_mntmlo,normalUser,Children's Game:1041,Medieval:1035
nerdyandwordy,normalUser,Adventure:1022,Action/Dexterity:1032
rocknspock,normalUser,Economic:1021,Aviation/Flight:2650
hsatcher,normalUser,Action/Dexterity:1032,Fantasy:1010
archinerd,normalUser,Print & Play:1120,Exploration:1020
leluckyvint,normalUser,Modern Warfare:1069,Fantasy:1010
delaparty,normalUser,Memory:1045,Murder/Mystery:1040
plquindos,normalUser,Party Game:1030,Humor:1079
sinn104,normalUser,Napoleonic:1051,Fantasy:1010
javigon,normalUser,Animals:1089,Territory Building:1086
lilboke,normalUser,Bluffing:1023,Exploration:1020
xzarus,normalUser,Abstact Strategy:1009,Humor:1079
jmparker,normalUser,Collectible Components:1044,Fantasy:1010
mna86,normalUser,Economic:1021,Dice:1017
yalensky,normalUser,Novel-Based:1093,Humor:1079
teeps12,normalUser,Aviation/Flight:2650,Fantasy:1010
shennings,normalUser,Fantasy:1010,Bluffing:1023
mudmaniac,normalUser,Spies/Secret Agents:1081,Puzzle:1028
krizar,normalUser,Murder/Mystery:1040,Abstact Strategy:1009
samsamsamsam,normalUser,Modern Warfare:1069,Collectible Components:1044
purplexed1,normalUser,Abstact Strategy:1009,Fantasy:1010
clde01,normalUser,Racing:1031,Party Game:1030
chicagocubcakes,normalUser,Medical:2145,Medieval:1035
jau11,normalUser,Educational:1094,Economic:1021
killerking99,normalUser,Napoleonic:1051,Economic:1021
gorillapancake,normalUser,Print & Play:1120,Animals:1089
transittees,normalUser,Miniatures:1047,Number:1098
kxxreload,normalUser,Territory Building:1086,Novel-Based:1093
octransplant,normalUser,Territory Building:1086,Deduction:1039
lum_lum,normalUser,Spies/Secret Agents:1081,Adventure:1022
boleh,normalUser,Children's Game:1041,Puzzle:1028
brett232,normalUser,Miniatures:1047,Ancient:1050
shadow balance games,normalUser,Children's Game:1041,Medical:2145
kailelle,normalUser,Educational:1094,Puzzle:1028
frankqb,normalUser,Negotiation:1026,Action/Dexterity:1032
dosan83,normalUser,Party Game:1030,Number:1098
nogall,normalUser,Adventure:1022,Science Fiction:1016
manu26,normalUser,Word-game:1025,Humor:1079
hodo1945,normalUser,Modern Warfare:1069,Science Fiction:1016
erebusrat,normalUser,Humor:1079,Puzzle:1028
killuaz,normalUser,Educational:1094,Abstact Strategy:1009
phigalac,normalUser,Medieval:1035,Transportation:1011
greenhammer,normalUser,Bluffing:1023,Spies/Secret Agents:1081
proglin,normalUser,Adventure:1022,Murder/Mystery:1040
marvel26,normalUser,Bluffing:1023,Medieval:1035
yappingboy,normalUser,Video Game Theme:1101,Murder/Mystery:1040
ryunii,normalUser,Number:1098,Murder/Mystery:1040
clumsyquail,normalUser,Racing:1031,Territory Building:1086
koashadow,normalUser,Dice:1017,Racing:1031
alia4444,normalUser,Territory Building:1086,Racing:1031
marinellirm,normalUser,Fighting:1046,Zombies:2481
mr_hales,normalUser,Collectible Components:1044,Bluffing:1023
krandal,normalUser,World War II: 1049,Economic:1021
beranandi,normalUser,Puzzle:1028,Sports:1038
mythoturge,normalUser,Movies/TV/Radio Theme:1064,Zombies:2481
saedelaere,normalUser,Miniatures:1047,Humor:1079
vosarno,normalUser,Animals:1089,World War II: 1049
gabibi,normalUser,Collectible Components:1044,Bluffing:1023
wailander,normalUser,Exploration:1020,Collectible Components:1044
grimashpb,normalUser,Humor:1079,Adventure:1022
trottta,normalUser,Economic:1021,Murder/Mystery:1040
justinsirois,normalUser,Negotiation:1026,Novel-Based:1093
mwgames,normalUser,Children's Game:1041,Book:1117
tomysd,normalUser,Fighting:1046,Puzzle:1028
crowbiwan,normalUser,Economic:1021,Territory Building:1086
lekkahiguy,normalUser,Puzzle:1028,Book:1117
patthedemon,normalUser,World War II: 1049,Book:1117
ihfongard,normalUser,Modern Warfare:1069,Science Fiction:1016
canibefrank,normalUser,Negotiation:1026,Transportation:1011
jason2043,normalUser,Bluffing:1023,Deduction:1039
tokume,normalUser,Aviation/Flight:2650,Adventure:1022
kjak,normalUser,Exploration:1020,Party Game:1030
mixx,normalUser,Animals:1089,Abstact Strategy:1009
thermoptic,normalUser,Action/Dexterity:1032,Travel:1097
interbreeding,normalUser,Number:1098,Print & Play:1120
cparrott,normalUser,Negotiation:1026,Action/Dexterity:1032
hkcochran,normalUser,Travel:1097,Deduction:1039
natalka,normalUser,Adventure:1022,Humor:1079
frankpowerful,normalUser,Bluffing:1023,Travel:1097
libertol,normalUser,Humor:1079,Movies/TV/Radio Theme:1064
generalwhite,normalUser,Trains:1034,Puzzle:1028
venetolibero,normalUser,Travel:1097,World War II: 1049
megabazo666,normalUser,Medieval:1035,Sports:1038
samdickinson,normalUser,Ancient:1050,Party Game:1030
djr505,normalUser,Puzzle:1028,Science Fiction:1016
moriganne,normalUser,Party Game:1030,Racing:1031
viriiii,normalUser,Novel-Based:1093,Wargame:1019
leithwalton,normalUser,Fighting:1046,Bluffing:1023
wuyufan,normalUser,Print & Play:1120,Abstact Strategy:1009
jaben76,normalUser,Zombies:2481,Book:1117
arteglam,normalUser,Fantasy:1010,Number:1098
vancho_1,normalUser,Travel:1097,Territory Building:1086
yul_ko,normalUser,Movies/TV/Radio Theme:1064,Memory:1045
whitedemon,normalUser,Exploration:1020,Puzzle:1028
rmarkworth,normalUser,Children's Game:1041,Novel-Based:1093
vixtoria,normalUser,Medieval:1035,Card Game:1002
clipperer,normalUser,Puzzle:1028,Zombies:2481
tail3,normalUser,Transportation:1011,Number:1098
oliver.adam,normalUser,Novel-Based:1093,Negotiation:1026
mia13,normalUser,Abstact Strategy:1009,Educational:1094
madmullah,normalUser,Napoleonic:1051,Collectible Components:1044
susi101,normalUser,Miniatures:1047,Science Fiction:1016
elche,normalUser,Bluffing:1023,Territory Building:1086
magnacarta,normalUser,Sports:1038,Aviation/Flight:2650
mechagisle,normalUser,Territory Building:1086,Children's Game:1041
taakeduren0512,normalUser,Sports:1038,Exploration:1020
data00,normalUser,Economic:1021,Zombies:2481
cryotops,normalUser,Puzzle:1028,Bluffing:1023
pipsilotta,normalUser,Card Game:1002,World War II: 1049
obelixastrid,normalUser,Memory:1045,Economic:1021
kazzoo,normalUser,Trains:1034,Transportation:1011
ragga25,normalUser,Humor:1079,Science Fiction:1016
mattyglee,normalUser,Exploration:1020,Dice:1017
vikingjarl,normalUser,Humor:1079,Science Fiction:1016
gratessolle,normalUser,Animals:1089,Deduction:1039
engrogames,normalUser,World War II: 1049,Animals:1089
kebomarcuet,normalUser,Trains:1034,Territory Building:1086
adhicipta,normalUser,Trains:1034,Educational:1094
balloondog,normalUser,Aviation/Flight:2650,Adventure:1022
doccool,normalUser,Children's Game:1041,Adventure:1022
fr3gg3l,normalUser,Action/Dexterity:1032,Party Game:1030
jelle_persoons,normalUser,Fantasy:1010,Animals:1089
imaestro,normalUser,Party Game:1030,Book:1117
just simple reviews,normalUser,Bluffing:1023,Travel:1097
minori,normalUser,Animals:1089,World War II: 1049
orb777,normalUser,Wargame:1019,Transportation:1011
holidayfevergame,normalUser,Book:1117,Territory Building:1086
heatherelaine,normalUser,Economic:1021,Ancient:1050
dice_k00,normalUser,Science Fiction:1016,Card Game:1002
heatseeker96,normalUser,Movies/TV/Radio Theme:1064,Card Game:1002
razorwind,normalUser,Fantasy:1010,Puzzle:1028
tazukos,normalUser,Collectible Components:1044,Fantasy:1010
baggioo,normalUser,Zombies:2481,Dice:1017
mbruner1984,normalUser,Racing:1031,Spies/Secret Agents:1081
pieterfalun,normalUser,Abstact Strategy:1009,Exploration:1020
oscarbismarck,normalUser,Print & Play:1120,Trains:1034
coolhippo,normalUser,Negotiation:1026,Video Game Theme:1101
choulacouette,normalUser,Murder/Mystery:1040,Napoleonic:1051
matthawke,normalUser,Aviation/Flight:2650,Transportation:1011
sadllife,normalUser,Murder/Mystery:1040,Puzzle:1028
davechoin,normalUser,Exploration:1020,Real-time:1037
karinp,normalUser,Dice:1017,Wargame:1019
ssamoska,normalUser,Miniatures:1047,Medical:2145
callensp,normalUser,Collectible Components:1044,Fighting:1046
johannschuster,normalUser,Educational:1094,Negotiation:1026
slurmsmackenzie8,normalUser,Negotiation:1026,Exploration:1020
andreagee,normalUser,Transportation:1011,Dice:1017
reunion974,normalUser,Medical:2145,Napoleonic:1051
blackatog,normalUser,Adventure:1022,Exploration:1020
gamesandbourbon,normalUser,Economic:1021,Transportation:1011
kryzen13,normalUser,Travel:1097,Educational:1094
ritaorlov,normalUser,Zombies:2481,Print & Play:1120
jemerick,normalUser,Murder/Mystery:1040,Animals:1089
shin_poj,normalUser,Science Fiction:1016,Miniatures:1047
murjani1,normalUser,Card Game:1002,Spies/Secret Agents:1081
ripwannabe32,normalUser,Card Game:1002,Zombies:2481
parsethal,normalUser,Bluffing:1023,Napoleonic:1051
cdmurphy3,normalUser,Novel-Based:1093,Animals:1089
thethreeofus,normalUser,Ancient:1050,Number:1098
mellonikus,normalUser,Action/Dexterity:1032,Fantasy:1010
czarnen,normalUser,Aviation/Flight:2650,Adventure:1022
zzabhm,normalUser,Fantasy:1010,Territory Building:1086
landgraftitan,normalUser,Book:1117,Number:1098
ztimmons,normalUser,Wargame:1019,Territory Building:1086
warcroft,normalUser,Puzzle:1028,Medical:2145
eldarung,normalUser,Animals:1089,Sports:1038
winsmithgames,normalUser,Economic:1021,Book:1117
ggruetze,normalUser,Children's Game:1041,Wargame:1019
4rtem,normalUser,Economic:1021,Collectible Components:1044
kwhines88,normalUser,Miniatures:1047,Deduction:1039
ayaina,normalUser,Puzzle:1028,Dice:1017
johnhart99,normalUser,Puzzle:1028,Ancient:1050
varrocker93,normalUser,Deduction:1039,Movies/TV/Radio Theme:1064
gelflinggal,normalUser,Abstact Strategy:1009,Fighting:1046
sir_camelot,normalUser,Spies/Secret Agents:1081,Number:1098
urfy,normalUser,Deduction:1039,Fighting:1046
edarneor,normalUser,Humor:1079,Number:1098
jackson1863,normalUser,Miniatures:1047,Abstact Strategy:1009
pazeus,normalUser,Negotiation:1026,Travel:1097
kchnshm,normalUser,Book:1117,Humor:1079
franklinrabbit,normalUser,Collectible Components:1044,Dice:1017
jtschetter1,normalUser,Medical:2145,Bluffing:1023
maguy,normalUser,World War II: 1049,Educational:1094
gorlis,normalUser,Word-game:1025,Memory:1045
giantskunk,normalUser,Puzzle:1028,Medical:2145
adriangil88,normalUser,Book:1117,Territory Building:1086
veerle2708,normalUser,Travel:1097,Humor:1079
quaramito,normalUser,Print & Play:1120,Real-time:1037
l3club,normalUser,Children's Game:1041,Racing:1031
bonairious,normalUser,Fantasy:1010,Word-game:1025
arutgers03,normalUser,World War II: 1049,Modern Warfare:1069
rubcar91,normalUser,Number:1098,Card Game:1002
jim18982,normalUser,Memory:1045,Miniatures:1047
excali8ur,normalUser,World War II: 1049,Ancient:1050
chocoladevla,normalUser,Humor:1079,Zombies:2481
rosdj,normalUser,Exploration:1020,Medical:2145
nikolain,normalUser,Puzzle:1028,Murder/Mystery:1040
bartman1000,normalUser,Collectible Components:1044,Spies/Secret Agents:1081
epluribusunix,normalUser,Murder/Mystery:1040,Print & Play:1120
airguitarbandit,normalUser,Animals:1089,Medical:2145
montycantsin,normalUser,Spies/Secret Agents:1081,Card Game:1002
nfalstein,normalUser,Travel:1097,World War II: 1049
devinolsen,normalUser,Napoleonic:1051,Exploration:1020
betsybu1989,normalUser,Ancient:1050,Travel:1097
madparker,normalUser,Memory:1045,Modern Warfare:1069
bfod,normalUser,Travel:1097,Deduction:1039
adridevil,normalUser,Puzzle:1028,Video Game Theme:1101
snegr,normalUser,Card Game:1002,Humor:1079
taberl,normalUser,Transportation:1011,Modern Warfare:1069
vap0r,normalUser,Territory Building:1086,Napoleonic:1051
vityweb,normalUser,Fighting:1046,Action/Dexterity:1032
koridon20,normalUser,Economic:1021,Puzzle:1028
andrearaia71,normalUser,Napoleonic:1051,Humor:1079
naptown jim,normalUser,World War II: 1049,Real-time:1037
deirdrea lyon,normalUser,Medical:2145,Bluffing:1023
meneerbiesjesman,normalUser,Humor:1079,Movies/TV/Radio Theme:1064
mahk,normalUser,Animals:1089,Dice:1017
remleduff,normalUser,Travel:1097,Deduction:1039
luzetski,normalUser,Transportation:1011,Children's Game:1041
nallam phani teja,normalUser,Sports:1038,Wargame:1019
sillue,normalUser,Abstact Strategy:1009,Movies/TV/Radio Theme:1064
ryanpschneider,normalUser,Aviation/Flight:2650,Deduction:1039
lucasgentry,normalUser,Transportation:1011,Dice:1017
pip_,normalUser,Print & Play:1120,Party Game:1030
qureck,normalUser,Children's Game:1041,Humor:1079
expedat,normalUser,Number:1098,Educational:1094
jenia00,normalUser,Murder/Mystery:1040,Modern Warfare:1069
asmdemon,normalUser,Book:1117,Sports:1038
manius,normalUser,Action/Dexterity:1032,Novel-Based:1093
oskier,normalUser,Novel-Based:1093,Racing:1031
makioka,normalUser,Sports:1038,World War II: 1049
timo_diegel,normalUser,Sports:1038,Children's Game:1041
cbia,normalUser,Real-time:1037,Deduction:1039
oldsanke,normalUser,Spies/Secret Agents:1081,Movies/TV/Radio Theme:1064
lukaszkaczaniuk,normalUser,Napoleonic:1051,Children's Game:1041
wojciechk,normalUser,Print & Play:1120,Spies/Secret Agents:1081
korven652,normalUser,Murder/Mystery:1040,Napoleonic:1051
czarnopys,normalUser,Murder/Mystery:1040,Adventure:1022
yacszur,normalUser,Adventure:1022,Trains:1034
max_dal,normalUser,Card Game:1002,Murder/Mystery:1040
mikereb,normalUser,Word-game:1025,Travel:1097
loduva,normalUser,Humor:1079,Puzzle:1028
mjkaminski,normalUser,Economic:1021,Aviation/Flight:2650
paperino1,normalUser,Travel:1097,Bluffing:1023
northerndice,normalUser,Animals:1089,Zombies:2481
natjagi,normalUser,Novel-Based:1093,Real-time:1037
pokrzyf,normalUser,Educational:1094,Movies/TV/Radio Theme:1064
stiikiworld,normalUser,Racing:1031,Ancient:1050
amike,normalUser,Card Game:1002,Dice:1017
clairadeluna,normalUser,Collectible Components:1044,Modern Warfare:1069
caracurley,normalUser,Murder/Mystery:1040,Party Game:1030
thesandman1991,normalUser,Bluffing:1023,Real-time:1037
psingertexas,normalUser,Racing:1031,Spies/Secret Agents:1081
rabblez,normalUser,World War II: 1049,Video Game Theme:1101
joaonoe,normalUser,Party Game:1030,Card Game:1002
andrelsco,normalUser,Real-time:1037,Card Game:1002
linkml,normalUser,Children's Game:1041,Humor:1079
tuttoimola,normalUser,Territory Building:1086,Negotiation:1026
sebek1987,normalUser,Murder/Mystery:1040,Party Game:1030
rulico,normalUser,Napoleonic:1051,Fighting:1046
injuringapollo2,normalUser,Aviation/Flight:2650,Word-game:1025
misiolak,normalUser,Real-time:1037,Novel-Based:1093
tobyon1,normalUser,Educational:1094,Ancient:1050
carlotavogas,normalUser,Adventure:1022,Negotiation:1026
alessandro cuneo,normalUser,Territory Building:1086,Fantasy:1010
rautaportti44,normalUser,Sports:1038,Trains:1034
analoggamestudios,normalUser,Party Game:1030,Territory Building:1086
p1np2,normalUser,Action/Dexterity:1032,Fantasy:1010
lemax,normalUser,Novel-Based:1093,Abstact Strategy:1009
smoothraving,normalUser,Zombies:2481,Transportation:1011
danielgresthyggames,normalUser,Sports:1038,Economic:1021
clemen,normalUser,Action/Dexterity:1032,Abstact Strategy:1009
tischer,normalUser,World War II: 1049,Animals:1089
maria_lyng,normalUser,Educational:1094,Book:1117
akira5284,normalUser,Ancient:1050,Number:1098
erbraxton2,normalUser,Zombies:2481,Collectible Components:1044
koolkow,normalUser,Deduction:1039,Animals:1089
ghostcoffee,normalUser,Children's Game:1041,Educational:1094
sarahgrunnet,normalUser,Wargame:1019,Deduction:1039
mikkel_gram,normalUser,Party Game:1030,Fantasy:1010
oscartgrump,normalUser,Zombies:2481,Animals:1089
sbcalderon,normalUser,Aviation/Flight:2650,Bluffing:1023
svengrest,normalUser,Puzzle:1028,Wargame:1019
m1tch,normalUser,Economic:1021,Abstact Strategy:1009
anihyggames,normalUser,Modern Warfare:1069,Economic:1021
alliethecodingnerd,normalUser,Movies/TV/Radio Theme:1064,Humor:1079
duckboy_deacon,normalUser,Number:1098,Bluffing:1023
needlesandpins,normalUser,Zombies:2481,Adventure:1022
ale378,normalUser,Aviation/Flight:2650,Card Game:1002
cococanton,normalUser,Transportation:1011,Abstact Strategy:1009
serknor,normalUser,Exploration:1020,Sports:1038
isamonzon,normalUser,Number:1098,Memory:1045
snowdog36,normalUser,Medieval:1035,Science Fiction:1016
teammy,normalUser,Zombies:2481,Print & Play:1120
bozsemama,normalUser,Exploration:1020,Medical:2145
zakwil,normalUser,Collectible Components:1044,Science Fiction:1016
piratedave84,normalUser,Dice:1017,Party Game:1030
baltamouf,normalUser,Animals:1089,Movies/TV/Radio Theme:1064
petike2009,normalUser,Real-time:1037,Science Fiction:1016
overthetop,normalUser,Economic:1021,Murder/Mystery:1040
vynshade,normalUser,Deduction:1039,Party Game:1030
jwbellarby,normalUser,Abstact Strategy:1009,Spies/Secret Agents:1081
batroberto,normalUser,Science Fiction:1016,Racing:1031
childofgod2222,normalUser,Spies/Secret Agents:1081,Children's Game:1041
eternalsun,normalUser,Educational:1094,Bluffing:1023
tealdear,normalUser,Racing:1031,Travel:1097
wacktopia,normalUser,Abstact Strategy:1009,Puzzle:1028
na ho,normalUser,Racing:1031,Ancient:1050
thewarriorbear,normalUser,Party Game:1030,Aviation/Flight:2650
larsholgerroth,normalUser,Wargame:1019,Exploration:1020
moissbatt,normalUser,Memory:1045,Party Game:1030
alenbi,normalUser,Dice:1017,Novel-Based:1093
hah123,normalUser,World War II: 1049,Humor:1079
sebbo6,normalUser,Aviation/Flight:2650,Number:1098
filipelm,normalUser,Educational:1094,Children's Game:1041
legrandmenteur,normalUser,Movies/TV/Radio Theme:1064,Deduction:1039
recurvirostra,normalUser,Science Fiction:1016,Action/Dexterity:1032
lecrazecru,normalUser,Book:1117,Abstact Strategy:1009
brettscho,normalUser,Action/Dexterity:1032,Spies/Secret Agents:1081
b34rz,normalUser,Zombies:2481,Racing:1031
eventi,normalUser,Action/Dexterity:1032,Number:1098
ploderup,normalUser,Bluffing:1023,Puzzle:1028
raile,normalUser,Word-game:1025,Print & Play:1120
martin_00792,normalUser,Dice:1017,Science Fiction:1016
smithsonian30,normalUser,Ancient:1050,Negotiation:1026
recyclite,normalUser,Adventure:1022,Medieval:1035
loweb1,normalUser,Miniatures:1047,Fantasy:1010
enekk,normalUser,Abstact Strategy:1009,Aviation/Flight:2650
goache,normalUser,Aviation/Flight:2650,Travel:1097
inaytaobako,normalUser,Party Game:1030,Murder/Mystery:1040
kesosplit,normalUser,Ancient:1050,Print & Play:1120
xeversorx,normalUser,Territory Building:1086,Memory:1045
thaynaskrobot,normalUser,Zombies:2481,Aviation/Flight:2650
unreal_ed,normalUser,Animals:1089,Sports:1038
semicolon42,normalUser,Napoleonic:1051,Puzzle:1028
spielezar,normalUser,Zombies:2481,Modern Warfare:1069
abgrisu,normalUser,Animals:1089,Transportation:1011
imamprimadi,normalUser,Bluffing:1023,Aviation/Flight:2650
milan_747,normalUser,Number:1098,Spies/Secret Agents:1081
andymomo,normalUser,Word-game:1025,Children's Game:1041
leika_,normalUser,Movies/TV/Radio Theme:1064,Science Fiction:1016
the_mynock,normalUser,Fantasy:1010,Aviation/Flight:2650
nilcraban,normalUser,Transportation:1011,Party Game:1030
cgrau55,normalUser,Adventure:1022,Fighting:1046
denell,normalUser,Action/Dexterity:1032,Zombies:2481
winchester1991,normalUser,Book:1117,Print & Play:1120
quidditschmeister,normalUser,Ancient:1050,Napoleonic:1051
n529,normalUser,Science Fiction:1016,Memory:1045
rol03,normalUser,Movies/TV/Radio Theme:1064,Animals:1089
mattdehlinger,normalUser,Educational:1094,Fighting:1046
trump_roast,normalUser,Abstact Strategy:1009,Adventure:1022
adrianapm,normalUser,Deduction:1039,Fantasy:1010
oqn12,normalUser,Travel:1097,Aviation/Flight:2650
acarter,normalUser,Medical:2145,Movies/TV/Radio Theme:1064
zric,normalUser,Puzzle:1028,Card Game:1002
angelsinthewindow,normalUser,Medieval:1035,Territory Building:1086
yourloveonly,normalUser,Racing:1031,Animals:1089
dc85,normalUser,Ancient:1050,Book:1117
tonycxl,normalUser,Party Game:1030,Abstact Strategy:1009
xiazheteng,normalUser,Memory:1045,World War II: 1049
ashortega,normalUser,Exploration:1020,Adventure:1022
quachil,normalUser,Ancient:1050,Medieval:1035
irvancode,normalUser,Exploration:1020,Movies/TV/Radio Theme:1064
kotokvas,normalUser,Real-time:1037,Adventure:1022
kiltas,normalUser,Puzzle:1028,Miniatures:1047
dolski,normalUser,Exploration:1020,Memory:1045
leolu1901,normalUser,Print & Play:1120,Bluffing:1023
mortemanes,normalUser,Card Game:1002,Medieval:1035
nixiee,normalUser,Transportation:1011,Book:1117
g1zmothegreat,normalUser,Word-game:1025,Miniatures:1047
floatyaboat,normalUser,Science Fiction:1016,Spies/Secret Agents:1081
herilarry,normalUser,Animals:1089,Murder/Mystery:1040
chatlee,normalUser,Children's Game:1041,Miniatures:1047
florian herold,normalUser,Word-game:1025,Exploration:1020
fusselfreak,normalUser,Negotiation:1026,Deduction:1039
daimon100,normalUser,Ancient:1050,Action/Dexterity:1032
brandnew77,normalUser,Word-game:1025,Napoleonic:1051
febos,normalUser,Fantasy:1010,Spies/Secret Agents:1081
baronu,normalUser,Novel-Based:1093,Spies/Secret Agents:1081
allaboutjack,normalUser,Party Game:1030,Aviation/Flight:2650
baron_mardi,normalUser,Print & Play:1120,Ancient:1050
fattie,normalUser,Deduction:1039,Puzzle:1028
nalumtei,normalUser,Wargame:1019,Transportation:1011
dannenfels,normalUser,Video Game Theme:1101,Abstact Strategy:1009
carpa1981,normalUser,World War II: 1049,Exploration:1020
pitusw,normalUser,Card Game:1002,Puzzle:1028
rcummings,normalUser,Economic:1021,Trains:1034
ajwargame,normalUser,Movies/TV/Radio Theme:1064,Bluffing:1023
verolit,normalUser,Action/Dexterity:1032,Card Game:1002
stevejinkit621,normalUser,Abstact Strategy:1009,Fantasy:1010
efmarsar,normalUser,Video Game Theme:1101,Travel:1097
kal1d0r,normalUser,Humor:1079,Napoleonic:1051
dante_ventrue,normalUser,Dice:1017,Aviation/Flight:2650
carlosh,normalUser,Video Game Theme:1101,Science Fiction:1016
donatelli_david,normalUser,Fantasy:1010,Trains:1034
chesker,normalUser,Aviation/Flight:2650,Bluffing:1023
ben sosa,normalUser,Movies/TV/Radio Theme:1064,Exploration:1020
jimmi_h,normalUser,Real-time:1037,Sports:1038
omenn,normalUser,Racing:1031,Collectible Components:1044
yukury,normalUser,Memory:1045,Collectible Components:1044
tyler_kemp,normalUser,Bluffing:1023,Puzzle:1028
sarah_tyme,normalUser,Wargame:1019,Travel:1097
boardgamewizard,normalUser,Trains:1034,Spies/Secret Agents:1081
